"countryISO","MicronutEvenness","MicronutDensityScore_W","VulnCC_W","VulnF_W","color","quartile","ISO","Vitamin_A_PII","Zinc_PII","Iron_PII","Calcium_PII","mean_PII","yield_5Y","cumulArea","RegionWB","hdi2018","TaxRichness","NutritionalDep"
"Albania",0.474382191057309,195.868962424065,27.7498325362314,34.5699414785627,"#E9633E","4","ALB",1.065262136,2.431535909,1.1135768985,0.000265174,1.152660029375,12042.1243145877,11104.5176957,"Europe & Central Asia",0.791,89,0.03
"Algeria",0.461730309913131,181.548293595873,34.6569032901825,41.5161458383401,"#F89A58","3","DZA",34.02071215,42.90460963,30.20475498,4.51825536,27.91208303,260383.866670706,128841.900956,"Middle East & North Africa",0.759,165,0.07
"Anguilla",0.757155942563486,174.559106863599,58.5603555989714,39.3514529449433,"#F8B065","3","AIA",NA,NA,NA,NA,NA,2463.67202009975,92181.7952024,"Latin America & Caribbean",0.92,55,NA
"Antigua & Barbuda",0.479252461039917,170.051541490285,63.8055675914929,38.7456757302429,"#EFB66C","2","ATG",5.043711767,0.144796045,1.8192432185,25.56071111,8.142115535125,4840.00957410257,107937.02868,"Latin America & Caribbean",0.776,98,0.26
"Argentina",0.428592025812939,122.874919751511,48.6976433360211,55.7374177157397,"#77B8AC","1","ARG",5.8915338655,0.004713104,0.3800074025,39.76899042,11.511311198,1276796.76100846,1082475.47924,"Latin America & Caribbean",0.83,83,0.02
"Australia",0.720573138477539,172.650989649935,54.4610698485789,40.7605462512911,"#F4B268","3","AUS",2.846645093,0.002661793,1.018151024,18.47707746,5.5861338425,77847.9685656513,7435549.547495,"East Asia & Pacific",0.938,267,0.07
"Bahamas",0.721552091872224,158.164071433139,60.5475815247887,49.3731424009256,"#D5C481","1","BHS",6.156824013,0.027395726,0.849027536,41.76523298,12.19962006375,31700.2405373917,628025.478178,"Latin America & Caribbean",0.805,103,0.21
"Bangladesh",0.399989161676182,159.406412625002,65.793775363786,28.425602629693,"#D7C37F","2","BGD",96.98165252,42.79675108,99.04721168,94.99861236,83.45605691,1053361.4049708,84845.9159926,"South Asia",0.614,109,0.22
"Belgium",0.51987507951666,118.091484530578,34.9971837861944,47.2197497578648,"#67ADAF","1","BEL",0.5968082095,2.314013745,1.119329782,2.5719679,1.650529909125,18897.955576803,3478.97748204,"Europe & Central Asia",0.919,69,0.06
"Belize",0.435367655812472,188.319999328549,45.2823293172051,36.1998362858312,"#F1804C","4","BLZ",39.67876094,23.12916118,5.4095345555,36.64439498,26.215462913875,16544.6186934896,36181.9885759,"Latin America & Caribbean",0.72,105,0.13
"Bermuda",0.560042568729793,156.379896905445,58.2989804631781,46.6681035856864,"#D1C684","1","BMU",NA,NA,NA,NA,NA,956.607414351681,450347.475795,"North America",0.92,39,0.19
"Bonaire, Sint Eustatius and Saba",0.656912123044944,168.284454551754,54.6542130128744,45.1276685643616,"#EBB76F","2","BES",NA,NA,NA,NA,NA,2728.82953396329,24856.6786392,"Latin America & Caribbean",0.934,86,NA
