"species","Genus","Family","EnvTemp","Fishing_V","Climate_V.index","Selenium_mu","Selenium_l95","Selenium_l50","Selenium_u50","Selenium_u95","Zinc_mu","Zinc_l95","Zinc_l50","Zinc_u50","Zinc_u95","Protein_mu","Protein_l95","Protein_l50","Protein_u50","Protein_u95","Omega_3_mu","Omega_3_l95","Omega_3_l50","Omega_3_u50","Omega_3_u95","Calcium_mu","Calcium_l95","Calcium_l50","Calcium_u50","Calcium_u95","Iron_mu","Iron_l95","Iron_l50","Iron_u50","Iron_u95","Vitamin_A_mu","Vitamin_A_l95","Vitamin_A_l50","Vitamin_A_u50","Vitamin_A_u95","rda_Vitamin_A","rda_Calcium","rda_Iron","rda_Selenium","rda_Zinc","MicronutDensityScore"
"Ablennes hians","Ablennes","Belonidae","subtropical",39.61,72,30.74249593,9.600515399,20.86154127,43.20916517,93.4641894,0.725534982,0.416608592,0.599424337,0.92233127,1.42465951,17.95127945,15.96484119,17.37750593,18.68083271,20.14032947,0.441199765,0.133198146,0.305436359,0.607860338,1.299362301,36.17433917,12.06689299,24.33711439,56.69981297,105.0773401,0.914441974,0.401087556,0.694108362,1.238861048,2.15047447,39.8947866,7.375174803,22.53302269,73.13068547,248.8807332,11.170540248,5.00435522114624,10.8493115559322,100,20.314979496,147.339186521078
"Acanthistius brasilianus","Acanthistius","Serranidae","subtropical",51.88,86,27.93929796,12.00709077,21.60449171,36.62017236,66.39027541,1.045376915,0.676731244,0.887627487,1.193015169,1.654488413,16.16719617,13.69046341,15.26174144,17.1631714,19.09001563,0.709779357,0.355953976,0.569099009,0.914677455,1.467719921,68.82721143,37.77955677,54.44301238,89.36160766,141.2329572,1.028508898,0.571720237,0.850946959,1.259924251,1.798471293,29.49230969,8.858896168,19.40380739,44.58183402,99.35606335,8.2578467132,9.52155098833992,12.2026479423729,100,29.27055362,159.252599263913
"Acanthocybium solandri","Acanthocybium","Scombridae","subtropical",46.16,68,45.81003712,22.71010607,35.19750636,58.23757664,98.616066,0.507358108,0.344185467,0.441068252,0.585607828,0.776708217,21.92738187,20.70709236,21.5069715,22.26899696,22.94011035,0.285682189,0.164973646,0.242485884,0.34000615,0.509547413,37.15778771,18.64751358,29.67217357,45.59535557,74.18525005,1.54163354,0.88108181,1.274371148,1.880786622,2.887375946,5.524212442,1.527536687,3.548718077,8.45832229,19.09102905,1.54677948376,5.14040541442688,18.2905674237288,100,14.206027024,139.183779345916
"Acanthopagrus berda","Acanthopagrus","Sparidae","tropical",42.22,68,69.02965186,29.42118479,53.89249263,91.17396678,168.5381156,0.966180471,0.562578285,0.821815746,1.130081009,1.545382256,17.88054314,16.62444844,17.41056,18.33895914,19.11373597,0.398278041,0.195416366,0.323563343,0.53788035,0.850940893,105.6177258,55.4614622,82.44133975,132.2013453,203.7752574,0.927351049,0.483786151,0.746403466,1.157429212,1.838878458,10.22636546,3.014243715,6.734184693,15.18093397,34.22184635,2.8633823288,14.6111478379447,11.0024700728814,100,27.053053188,155.530053427626
"Acanthopagrus bifasciatus","Acanthopagrus","Sparidae","tropical",37.35,65,32.5559853,14.52497306,25.62464911,41.90091151,69.97897002,1.563557087,1.00967902,1.321952912,1.820783435,2.470099289,18.43787829,17.15446156,17.93987046,18.91515122,19.83897669,0.288246248,0.150747916,0.223203188,0.377703631,0.603446143,58.16762694,29.8143393,46.6004917,73.16478429,120.6447387,0.733374461,0.399698841,0.597533624,0.90673439,1.409874878,93.8182519,23.7051915,59.92109908,142.1742714,354.6600554,26.269110532,8.04690491264822,8.70105292711864,100,43.779598436,186.796666807767
"Acanthopagrus latus","Acanthopagrus","Sparidae","subtropical",38.19,51,25.86198044,9.794653855,18.27865517,36.03079409,62.76909031,0.890573135,0.524549156,0.729423862,1.064787181,1.466121177,18.40467039,17.14851017,17.92627856,18.83371278,19.65493401,0.718909128,0.355113166,0.568197593,0.965990376,1.607230511,104.7323959,49.62659555,82.04525963,137.0295317,225.7354453,1.363151999,0.698436361,1.0643912,1.707006024,2.785640538,14.85837914,3.845840223,9.314862267,23.63488201,56.54070551,4.1603461592,14.4886713695652,16.1729898186441,100,24.93604778,159.758055127409
"Acanthopagrus schlegelii","Acanthopagrus","Sparidae","subtropical",45.36,76,29.38601609,11.37588541,21.35192458,40.91178773,65.60559627,0.920455286,0.545184102,0.746297371,1.092226559,1.48059986,18.25295554,17.05057693,17.80035484,18.70119404,19.48155274,0.638737351,0.316584337,0.504985092,0.848316294,1.406375576,93.78648033,44.734254,72.84711347,120.4391615,193.6032457,1.455077596,0.736403173,1.15327557,1.835528872,2.985678216,8.60655654,2.170043112,5.367250644,13.55205552,33.39797672,2.4098358312,12.9744142749012,17.2636324949153,100,25.772748008,158.420630609016
"Acanthurus monroviae","Acanthurus","Acanthuridae","tropical",46.16,68,30.73161356,9.477343267,19.24300476,49.455348,100.279913,2.624196496,0.736410882,1.796427032,3.422558886,5.224886943,16.82848717,15.8497208,16.47452296,17.18165576,17.8834167,0.375299837,0.151726434,0.253169114,0.523372396,1.001532141,181.5197073,57.57968975,131.7091901,250.7429426,491.6175036,1.199530093,0.437967635,0.883922359,1.66713734,3.328463296,11.61746658,3.605085072,7.626530085,17.19885147,37.9059302,3.2528906424,25.111421958498,14.2317129677966,100,73.477501888,216.073527456695
"Acanthurus sohal","Acanthurus","Acanthuridae","tropical",32.64,86,19.72502995,6.891005753,12.62756106,28.43841223,54.63523222,2.560329557,0.744512714,1.747142249,3.226813731,4.474106186,18.54969595,17.41637367,18.13296809,18.89592162,19.60769233,0.104838302,0.052418408,0.078137313,0.137305203,0.226312657,52.66610773,17.32997519,38.86364013,71.14580172,128.6916904,0.718295021,0.280346183,0.538423261,0.969656369,1.811256017,24.38570389,5.388482094,15.29663378,40.13056748,94.22937751,6.8279970892,7.28582518003952,8.52214431694915,86.29700603125,71.689227596,180.622200213439
"Acanthurus triostegus","Acanthurus","Acanthuridae","tropical",16.26,34,19.3295643,6.129670202,12.1629502,28.74682136,55.7669199,2.567408344,0.741105876,1.736689312,3.269113538,4.607352409,18.9854753,17.95018151,18.63215305,19.34919721,19.95883305,0.130520136,0.06587077,0.096712829,0.170854623,0.278145677,92.93882108,29.45056847,66.73150138,122.5028318,229.7877982,0.845575169,0.332904504,0.638824615,1.160409595,2.13277251,26.63452277,7.437465448,17.26355105,40.6625671,85.68971193,7.4576663756,12.8571491612648,10.0322477677966,84.5668438125,71.887433632,186.801340749161
"Acipenser gueldenstaedtii","Acipenser","Acipenseridae","temperate",86.67,61,31.10301138,14.47000398,24.16256605,39.87293497,68.92545287,0.496846111,0.335104776,0.437248134,0.577222698,0.781728387,16.33031418,13.79934046,15.23954039,17.28631418,19.15622814,0.688474399,0.355245377,0.55394036,0.877964381,1.421975159,15.41862729,7.960331539,12.38233992,19.58783738,31.69384597,0.223350963,0.126852835,0.183295166,0.270966253,0.38413853,8.096404097,2.382408564,5.265882094,12.48681062,29.30145365,2.26699314716,2.13301168043478,2.64992667966102,100,13.911691108,120.961622615256
"Acipenser medirostris","Acipenser","Acipenseridae","temperate",79.94,65,34.90793842,16.86052975,27.44285406,44.91417286,74.94368526,0.47308647,0.326667707,0.418676207,0.539470901,0.706556862,16.60835585,14.05986035,15.51876214,17.5606514,19.42612541,0.714253884,0.367406999,0.577234109,0.902185811,1.46223285,17.37568196,9.4101986,14.24514747,21.50927363,33.23588224,0.240391357,0.142838308,0.200756035,0.289884367,0.401627754,5.560369509,1.782393562,3.694772026,8.326456533,18.56032039,1.55690346252,2.4037504687747,2.85210084576271,100,13.24642116,120.059175937057
