taxon_scientific_name,class,nut
Alopias,marine_finfish,1
Alopias vulpinus,marine_finfish,1
Anguilla anguilla,marine_finfish,1
Aphia minuta,marine_finfish,1
Argentina,marine_finfish,1
Aristeidae,inv,0
Aristeus antennatus,inv,0
Atherinidae,marine_finfish,1
Auxis,marine_finfish,1
Auxis rochei,marine_finfish,1
Auxis thazard,marine_finfish,1
Belone belone,marine_finfish,1
Belonidae,marine_finfish,1
Bivalvia,inv,0
Boops boops,marine_finfish,1
Brama brama,marine_finfish,1
Carangidae,marine_finfish,1
Carcharhinidae,marine_finfish,1
Carcharodon carcharias,marine_finfish,0
Carcinus aestuarii,inv,0
Cardiidae,inv,0
Cephalopoda,inv,0
Chamelea gallina,inv,0
Chelidonichthys cuculus,marine_finfish,1
Chondrichthyes,marine_finfish,0
Clupeidae,marine_finfish,1
Conger conger,marine_finfish,1
Coryphaena hippurus,marine_finfish,1
Crangon crangon,inv,0
Decapoda,inv,0
Dendrobranchiata,inv,0
Dentex dentex,marine_finfish,1
Dentex macrophthalmus,marine_finfish,1
Dicentrarchus labrax,marine_finfish,1
Diplodus annularis,marine_finfish,1
Diplodus sargus,marine_finfish,1
Donax,inv,0
Elasmobranchii,marine_finfish,1
Eledone,inv,0
Engraulidae,marine_finfish,1
Engraulis encrasicolus,marine_finfish,1
Epinephelus,marine_finfish,1
Epinephelus aeneus,marine_finfish,1
Epinephelus marginatus,marine_finfish,1
Euthynnus alletteratus,marine_finfish,1
Gadiformes,marine_finfish,1
Galeus,marine_finfish,1
Galeus melastomus,marine_finfish,1
Gastropoda,inv,0
Gobiidae,marine_finfish,1
Helicolenus dactylopterus,marine_finfish,1
Hexanchus griseus,marine_finfish,1
Homarus gammarus,inv,0
Illex coindetii,inv,0
Istiophoridae,marine_finfish,1
Isurus oxyrinchus,marine_finfish,1
Katsuwonus pelamis,marine_finfish,1
Lamna nasus,marine_finfish,1
Lepidopus caudatus,marine_finfish,1
Leucoraja naevus,marine_finfish,1
Lichia amia,marine_finfish,1
Lithognathus mormyrus,marine_finfish,1
Chelon auratus,marine_finfish,1
Loliginidae,inv,0
Loligo,inv,0
Lophius,marine_finfish,1
Maja squinado,inv,0
Marine finfishes not identified,marine_finfish,0
Marine fishes not identified,marine_finfish,0
Marine pelagic fishes not identified,marine_finfish,0
Melicertus kerathurus,inv,0
Microcosmus sulcatus,inv,0
Micromesistius poutassou,marine_finfish,1
Miscellaneous marine crustaceans,inv,0
Mollusca,inv,0
Mugil cephalus,marine_finfish,1
Mugilidae,marine_finfish,1
Mullidae,marine_finfish,1
Mullus barbatus barbatus,marine_finfish,1
Mullus surmuletus,marine_finfish,1
Mustelus,marine_finfish,1
Mustelus asterias,marine_finfish,1
Mustelus mustelus,marine_finfish,1
Myliobatidae,marine_finfish,1
Mytilus galloprovincialis,inv,0
Nephropidae,inv,0
Nephrops norvegicus,inv,0
Oblada melanura,marine_finfish,1
Octopodidae,inv,0
Octopus vulgaris,inv,0
Ostrea edulis,inv,0
Pagellus acarne,marine_finfish,1
Pagellus bogaraveo,marine_finfish,1
Pagellus erythrinus,marine_finfish,1
Pagrus pagrus,marine_finfish,1
Palaemon serratus,inv,0
Palinuridae,inv,0
Palinurus elephas,inv,0
Paracentrotus lividus,inv,0
Parapenaeus longirostris,inv,0
Perciformes,marine_finfish,1
Platichthys flesus,marine_finfish,1
Pleuronectiformes,marine_finfish,1
Polyprion americanus,marine_finfish,1
Pomatomus saltatrix,marine_finfish,1
Prionace glauca,marine_finfish,1
Raja,marine_finfish,1
Raja clavata,marine_finfish,1
Rajidae,marine_finfish,1
Rajiformes,marine_finfish,1
Sarda sarda,marine_finfish,1
Sardina pilchardus,marine_finfish,1
Sardinella,marine_finfish,1
Sardinella aurita,marine_finfish,1
Sarpa salpa,marine_finfish,1
Scomber,marine_finfish,1
Scomber colias,marine_finfish,1
Scomber scombrus,marine_finfish,1
Scombridae,marine_finfish,1
Scophthalmus maximus,marine_finfish,1
Scophthalmus rhombus,marine_finfish,1
Scorpaena scrofa,marine_finfish,1
Scorpaenidae,marine_finfish,1
Scyliorhinidae,marine_finfish,1
Scyliorhinus canicula,marine_finfish,1
Sepia officinalis,inv,0
Seriola dumerili,marine_finfish,1
Serranidae,marine_finfish,1
Serranus,marine_finfish,1
Solea,marine_finfish,1
Solea solea,marine_finfish,1
Soleidae,marine_finfish,1
Solenidae,inv,0
Sparidae,marine_finfish,1
Sparus aurata,marine_finfish,1
Spicara,marine_finfish,1
Spicara maena,marine_finfish,1
Spicara smaris,marine_finfish,1
Spondyliosoma cantharus,marine_finfish,1
Sprattus sprattus,marine_finfish,1
Squalidae,marine_finfish,1
Squaliformes,marine_finfish,1
Squalus,marine_finfish,1
Squalus acanthias,marine_finfish,1
Squatinidae,marine_finfish,1
Squilla mantis,inv,0
Tetrapturus belone,marine_finfish,1
Teuthida,inv,0
Thunnus,marine_finfish,1
Thunnus thynnus,marine_finfish,1
Todarodes sagittatus,inv,0
Trachinotus ovatus,marine_finfish,1
Trachinus draco,marine_finfish,1
Trachurus,marine_finfish,1
Trachurus mediterraneus,marine_finfish,1
Trachurus trachurus,marine_finfish,1
Trigla,marine_finfish,1
Triglidae,marine_finfish,1
Umbrina cirrosa,marine_finfish,1
Xiphias gladius,marine_finfish,1
Zeus faber,marine_finfish,1
Acanthocardia tuberculata,inv,0
Acanthocybium solandri,marine_finfish,1
Aequipecten opercularis,inv,0
Alopias superciliosus,marine_finfish,1
Alosa,marine_finfish,1
Alosa fallax,marine_finfish,1
Anguilliformes,marine_finfish,1
Argentina sphyraena,marine_finfish,1
Argyrosomus regius,marine_finfish,1
Arnoglossus laterna,marine_finfish,1
Atherina boyeri,marine_finfish,1
Balistes capriscus,marine_finfish,1
Balistidae,marine_finfish,1
Benthosema glaciale,marine_finfish,0
Bothidae,marine_finfish,1
Campogramma glaycos,marine_finfish,1
Capros aper,marine_finfish,1
Carcharhiniformes,marine_finfish,1
Carcharhinus,marine_finfish,1
Carcharhinus brachyurus,marine_finfish,1
Carcharhinus limbatus,marine_finfish,1
Carcharhinus longimanus,marine_finfish,1
Carcharhinus plumbeus,marine_finfish,1
Centrolophus niger,marine_finfish,1
Centrophorus granulosus,marine_finfish,1
Centroscymnus coelolepis,marine_finfish,1
Cepola macrophthalma,marine_finfish,1
Cetorhinus maximus,marine_finfish,1
Chelidonichthys lucerna,marine_finfish,1
Chelon labrosus,marine_finfish,1
Chimaera monstrosa,marine_finfish,1
Chlorophthalmidae,marine_finfish,0
Citharus linguatula,marine_finfish,1
Clupeiformes,marine_finfish,1
Congridae,marine_finfish,1
Coryphaena,marine_finfish,1
Dalatias licha,marine_finfish,0
Dasyatidae,marine_finfish,1
Dasyatis pastinaca,marine_finfish,1
Dentex,marine_finfish,1
Dicentrarchus,marine_finfish,1
Diplodus,marine_finfish,1
Diplodus puntazzo,marine_finfish,1
Diplodus vulgaris,marine_finfish,1
Dipturus batis,marine_finfish,1
Dipturus oxyrinchus,marine_finfish,1
Echinorhinus brucus,marine_finfish,0
Eledone cirrhosa,inv,0
Epigonus,marine_finfish,1
Epigonus telescopus,marine_finfish,1
Epinephelus caninus,marine_finfish,1
Etmopterus spinax,marine_finfish,1
Eutrigla gurnardus,marine_finfish,1
Galeocerdo cuvier,marine_finfish,1
Galeorhinus galeus,marine_finfish,1
Gobius niger,marine_finfish,1
Goneplax rhomboides,inv,0
Heptranchias perlo,marine_finfish,0
Hoplostethus mediterraneus,marine_finfish,1
Kajikia albida,marine_finfish,1
Labridae,marine_finfish,1
